name,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalAssets,"205,579,000,000","203,631,000,000","203,609,000,000","201,549,000,000","193,984,000,000","98,598,000,000","95,789,000,000","92,033,000,000","88,182,000,000","84,141,000,000","81,241,000,000","74,898,000,000","72,124,000,000","69,206,000,000","63,117,000,000","62,497,000,000","60,928,000,000","59,998,000,000","53,158,000,000","53,902,000,000","49,988,000,000","50,045,000,000","43,810,000,000","45,027,000,000","43,679,000,000","41,378,000,000","38,497,000,000","36,626,000,000","14,606,000,000","12,826,300,000","11,751,100,000","10,861,700,000","9,428,500,000","8,022,300,000","6,657,200,000","5,108,900,000","3,806,300,000","3,121,000,000","2,897,300,000"
	CurrentAssets,"32,763,000,000","29,098,000,000","33,657,000,000","35,251,000,000","28,124,000,000","16,825,000,000","15,889,000,000","16,966,000,000","16,758,000,000","15,169,000,000","14,109,000,000","13,709,000,000","13,757,000,000","12,225,000,000","11,889,000,000","11,666,000,000","11,314,000,000","9,562,000,000","8,845,000,000","9,369,000,000","8,314,000,000","7,849,000,000","6,605,000,000","7,563,000,000","10,200,000,000","9,375,000,000","7,653,000,000","8,840,000,000","6,659,000,000","5,445,100,000","5,611,600,000","4,694,000,000","3,108,300,000","2,528,600,000","2,175,900,000","0","0","0","0"
		CashCashEquivalentsAndShortTermInvestments,"14,182,000,000","11,615,000,000","15,959,000,000","17,914,000,000","5,418,000,000","4,150,000,000","4,017,000,000","4,610,000,000","4,269,000,000","3,421,000,000","3,931,000,000","3,387,000,000","3,185,000,000","2,722,000,000","3,417,000,000","3,001,000,000","3,670,000,000","2,411,000,000","1,723,000,000","2,042,000,000","1,583,000,000","1,239,000,000","618,000,000","842,000,000","414,000,000","127,000,000","317,000,000","278,000,000","1,077,000,000","186,900,000","363,000,000","764,800,000","886,100,000","819,800,000","380,800,000",,,,
			CashAndCashEquivalents,"14,182,000,000","11,615,000,000","15,959,000,000","17,914,000,000","5,418,000,000","4,150,000,000","4,017,000,000","4,610,000,000","4,269,000,000","3,421,000,000","3,931,000,000","3,387,000,000","3,185,000,000","2,722,000,000","3,417,000,000","3,001,000,000","3,670,000,000","2,411,000,000","1,723,000,000","2,042,000,000","1,583,000,000","1,239,000,000","618,000,000","842,000,000","414,000,000","127,000,000","317,000,000","278,000,000","1,077,000,000","186,900,000","363,000,000","764,800,000","886,100,000","819,800,000","380,800,000",,,,
		Receivables,"12,330,000,000","12,652,000,000","13,367,000,000","12,708,000,000","15,481,000,000","9,334,000,000","8,633,000,000","9,065,000,000","8,019,000,000","7,822,000,000","6,967,000,000","6,540,000,000","6,182,000,000","5,784,000,000","4,854,000,000","5,373,000,000","5,032,000,000","4,707,000,000","4,585,000,000","4,558,000,000","4,238,000,000","4,049,000,000","3,343,000,000","3,599,000,000","3,633,000,000","3,999,000,000","3,329,000,000","3,343,000,000","1,793,000,000","1,670,500,000","1,390,300,000","1,298,900,000","1,128,200,000","851,500,000","908,500,000",,,,
			AccountsReceivable,"10,179,000,000","10,811,000,000","11,177,000,000","11,299,000,000","12,930,000,000","8,268,000,000","7,611,000,000","8,458,000,000","7,613,000,000","7,428,000,000","6,694,000,000","6,313,000,000","5,947,000,000","5,454,000,000","4,854,000,000","5,373,000,000","5,032,000,000","4,707,000,000","4,585,000,000","4,255,000,000","4,018,000,000","3,960,000,000","3,120,000,000","3,416,000,000","3,633,000,000","3,999,000,000",,,,,,,,,,,,,
			OtherReceivables,"2,266,000,000","1,999,000,000","2,360,000,000","1,835,000,000","2,894,000,000","1,258,000,000","1,209,000,000","760,000,000","563,000,000","548,000,000","428,000,000","388,000,000","496,000,000","656,000,000",,,,,,"303,000,000","220,000,000","89,000,000","223,000,000","183,000,000",,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,"-115,000,000","-158,000,000","-170,000,000","-426,000,000","-343,000,000","-192,000,000","-187,000,000","-153,000,000","-157,000,000","-154,000,000","-155,000,000","-161,000,000","-261,000,000","-326,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,963,000,000","1,742,000,000","1,331,000,000","1,583,000,000","1,649,000,000","1,392,000,000","1,373,000,000","1,390,000,000","1,571,000,000","1,574,000,000","1,487,000,000","1,537,000,000","1,595,000,000","1,442,000,000","1,271,000,000","1,124,000,000","641,000,000","694,000,000","626,000,000","775,000,000","703,000,000","697,000,000","671,000,000","702,000,000","796,000,000","899,000,000","853,000,000","951,000,000","824,000,000","668,300,000","608,900,000","462,800,000","311,600,000","269,200,000","224,300,000",,,,
		PrepaidAssets,"3,002,000,000","1,890,000,000","2,183,000,000","2,171,000,000","4,597,000,000","1,314,000,000","1,723,000,000","1,657,000,000","1,639,000,000","1,486,000,000","1,077,000,000","1,145,000,000","449,000,000","446,000,000","464,000,000","478,000,000","446,000,000",,,"512,000,000","484,000,000","492,000,000","444,000,000","493,000,000",,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,"4,597,000,000","1,314,000,000","1,278,000,000","1,208,000,000","767,000,000","497,000,000","485,000,000","765,000,000","1,487,000,000","1,018,000,000","1,140,000,000","1,024,000,000","862,000,000","592,000,000","749,000,000","772,000,000","674,000,000","624,000,000","622,000,000","623,000,000",,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,"767,000,000","497,000,000","485,000,000","765,000,000","1,487,000,000","1,018,000,000","1,140,000,000","1,024,000,000","862,000,000","592,000,000","749,000,000","772,000,000","674,000,000","624,000,000","622,000,000","623,000,000",,,,,,,,,,,,,,,
		OtherCurrentAssets,"1,286,000,000","1,199,000,000","817,000,000","875,000,000","979,000,000","635,000,000","143,000,000","244,000,000","493,000,000","369,000,000","162,000,000","335,000,000","859,000,000","813,000,000","743,000,000","666,000,000","663,000,000","1,158,000,000","1,162,000,000","1,222,000,000","632,000,000","748,000,000","907,000,000","1,304,000,000","5,357,000,000","4,350,000,000","3,154,000,000","4,268,000,000","2,965,000,000","2,919,400,000","3,249,400,000","2,167,500,000","782,400,000","588,100,000","662,300,000",,,,
