name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989
OperatingCashFlow,"13,255,000,000","9,866,000,000","6,010,000,000","5,567,000,000","7,618,000,000","6,606,000,000","14,295,000,000","12,343,000,000","13,136,000,000","11,385,000,000","9,780,000,000","9,452,000,000","7,966,000,000","6,994,000,000","6,578,000,000","5,319,000,000","5,446,000,000","5,421,000,000","6,058,000,000","4,269,000,000","4,644,000,000","2,901,000,000","2,286,000,000","3,048,000,000","3,755,000,000","5,588,000,000","5,115,000,000","5,099,000,000","4,625,000,000","3,510,000,000","2,807,300,000","2,145,200,000","1,838,100,000","1,503,300,000","1,358,900,000","1,275,600,000"
	CashFlowFromContinuingOperatingActivities,"13,255,000,000","9,866,000,000","6,002,000,000","5,566,000,000","7,616,000,000","5,984,000,000","14,295,000,000","12,343,000,000","13,136,000,000","11,385,000,000","9,780,000,000","9,452,000,000","7,966,000,000","6,994,000,000","6,578,000,000","5,319,000,000","5,446,000,000","5,411,000,000","6,030,000,000","4,248,000,000","4,644,000,000","2,901,000,000","2,286,000,000","3,048,000,000","3,755,000,000","5,588,000,000","5,115,000,000","5,099,000,000","4,625,000,000","3,510,000,000","2,807,300,000","2,145,200,000","1,838,100,000","1,503,300,000","1,358,900,000","1,275,600,000"
		NetIncomeFromContinuingOperations,"5,903,000,000","3,390,000,000","3,553,000,000","2,536,000,000","-2,442,000,000","10,897,000,000","13,066,000,000","9,366,000,000","9,790,000,000","8,852,000,000","8,004,000,000","6,636,000,000","6,173,000,000","5,258,000,000","4,313,000,000","3,609,000,000","4,729,000,000","4,687,000,000","3,374,000,000","2,533,000,000","2,345,000,000","1,267,000,000","1,236,000,000","-158,000,000","920,000,000","1,300,000,000","1,850,000,000","1,966,000,000","1,214,000,000","1,380,000,000","1,110,400,000","671,300,000","816,700,000","636,600,000","824,000,000","703,300,000"
		OperatingGainsLosses,"-857,000,000","-944,000,000","518,000,000","-277,000,000","-1,024,000,000","-4,352,000,000","-458,000,000","-609,000,000","-952,000,000","-905,000,000","-1,153,000,000","-1,013,000,000","-825,000,000","-660,000,000","-85,000,000","-457,000,000","-420,000,000","-1,005,000,000","417,000,000","326,000,000","923,000,000","-116,000,000","109,000,000","1,696,000,000","-544,000,000","57,000,000","31,000,000","-150,000,000","322,000,000","133,000,000","592,700,000","-111,500,000","485,100,000","120,700,000","79,300,000","36,400,000"
			GainLossOnSaleOfBusiness,,,,,,"-4,794,000,000","-560,000,000","-289,000,000","-26,000,000","-91,000,000","-299,000,000","-325,000,000","-198,000,000","-75,000,000","-118,000,000",,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,"-560,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"-166,000,000","714,000,000","-332,000,000","-920,000,000","-4,733,000,000","-560,000,000",,,,,,,,,"-342,000,000","-14,000,000",,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-695,000,000","-782,000,000","-816,000,000","-761,000,000","-651,000,000","103,000,000","102,000,000","-320,000,000","-926,000,000","-814,000,000","-854,000,000","-688,000,000","-627,000,000","-585,000,000","33,000,000","-414,000,000","-105,000,000",,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,"4,000,000","620,000,000","816,000,000","547,000,000","278,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"5,114,000,000","5,369,000,000","5,163,000,000","5,111,000,000","5,345,000,000","4,167,000,000","3,011,000,000","2,782,000,000","2,527,000,000","2,354,000,000","2,288,000,000","2,192,000,000","1,987,000,000","1,841,000,000","1,713,000,000","1,631,000,000","1,582,000,000","1,491,000,000","1,437,000,000","1,341,000,000","1,210,000,000","1,077,000,000","1,042,000,000","1,754,000,000","2,195,000,000","3,779,000,000","3,754,000,000","3,172,000,000","3,735,000,000","1,853,000,000","1,608,300,000","1,028,400,000","759,600,000","794,500,000","538,300,000","463,600,000"
