name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999
OperatingCashFlow,"48,664,000,000","28,090,000,000","5,641,000,000","9,108,000,000","5,822,000,000","4,761,000,000","3,743,000,000","3,502,000,000","1,672,000,000","1,175,000,000","906,000,000","835,000,000","824,172,000","909,156,000","675,797,000","487,807,000","249,360,000","1,270,196,000","587,111,000","446,408,000","132,200,000","49,678,000","265,032,000","160,806,000","267,909,000","15,871,000","-1,900,000"
	CashFlowFromContinuingOperatingActivities,"48,664,000,000","28,090,000,000","5,641,000,000","9,108,000,000","5,822,000,000","4,761,000,000","3,743,000,000","3,502,000,000","1,672,000,000","1,175,000,000","906,000,000","835,000,000","824,172,000","909,156,000","675,797,000","487,807,000","249,360,000","1,270,196,000","587,111,000","446,408,000","132,200,000","49,678,000","265,032,000","160,806,000","267,909,000","15,871,000","-1,900,000"
		NetIncomeFromContinuingOperations,"53,008,000,000","29,760,000,000","4,368,000,000","9,752,000,000","4,332,000,000","2,796,000,000","4,141,000,000","3,047,000,000","1,666,000,000","614,000,000","631,000,000","440,000,000","562,536,000","581,090,000","253,146,000","-67,987,000","-30,041,000","797,645,000","448,834,000","301,176,000","88,615,000","74,419,000","90,799,000","176,924,000","98,469,000","40,959,000","4,100,000"
		OperatingGainsLosses,"-457,000,000","-238,000,000","45,000,000","-100,000,000",,"1,000,000",,"19,000,000","21,000,000","-6,000,000","-17,000,000","-8,000,000",,,,,"-18,663,000","3,564,000","14,253,000","1,005,000","412,000","18,204,000","50,847,000","90,742,000","64,113,000","13,023,000",
			GainLossOnSaleOfPPE,,,,,,,,"-1,000,000","-3,000,000","-6,000,000","-17,000,000","-8,000,000","0","0",,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"-238,000,000","45,000,000","-100,000,000",,"1,000,000",,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,602,000,000","1,508,000,000","1,544,000,000","1,174,000,000","1,098,000,000","381,000,000","262,000,000","199,000,000","187,000,000","197,000,000","220,000,000","239,000,000","226,235,000","204,205,000","186,989,000","196,664,000","185,023,000","133,192,000","107,562,000","97,977,000","102,597,000","82,688,000","58,216,000","43,497,000","15,836,000","9,668,000","6,500,000"
			DepreciationAndAmortization,"1,602,000,000","1,508,000,000","1,544,000,000","1,174,000,000","1,098,000,000","381,000,000","262,000,000","199,000,000","187,000,000","197,000,000","220,000,000","239,000,000","226,235,000","204,205,000","186,989,000","196,664,000","185,023,000","133,192,000","107,562,000","97,977,000","102,597,000","82,688,000","58,216,000","43,497,000","15,836,000","9,668,000","6,500,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,"82,016,000",,"43,491,000","15,724,000","9,006,000",
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,"672,000",,"6,000","112,000","662,000",
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,"672,000",,"6,000","112,000","662,000",
		DeferredTax,"-3,884,000,000","-2,489,000,000","-2,164,000,000","-406,000,000","-282,000,000","18,000,000","-315,000,000","-359,000,000","197,000,000","134,000,000","83,000,000","15,000,000","31,860,000","19,056,000","-2,646,000","-21,147,000","-23,277,000","89,516,000","41,766,000","-2,691,000","8,694,000","55,135,000","29,768,000","-51,914,000","-27,201,000","-4,993,000",
			DeferredIncomeTax,"-3,884,000,000","-2,489,000,000","-2,164,000,000","-406,000,000","-282,000,000","18,000,000","-315,000,000","-359,000,000","197,000,000","134,000,000","83,000,000","15,000,000","31,860,000","19,056,000","-2,646,000","-21,147,000","-23,277,000","89,516,000","41,766,000","-2,691,000","8,694,000","55,135,000","29,768,000","-51,914,000","-27,201,000","-4,993,000",
		AssetImpairmentCharge,,,,,,,,,,,,,,,"0","0","9,891,000",,,,,,,,,,
		StockBasedCompensation,"4,137,000,000","3,549,000,000","2,709,000,000","2,004,000,000","1,397,000,000","844,000,000","557,000,000","391,000,000","247,000,000","204,000,000","158,000,000","136,000,000","136,662,000","136,354,000","100,353,000","242,826,000","162,706,000",,,,,,,,,,
