name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999
TotalRevenue,"96,307,000,000","60,922,000,000","26,974,000,000","26,914,000,000","16,675,000,000","10,918,000,000","11,716,000,000","9,714,000,000","6,910,000,000","5,010,000,000","4,682,000,000","4,130,000,000","4,280,159,000","3,997,930,000","3,543,309,000","3,326,445,000","3,424,859,000","4,097,860,000","3,068,771,000","2,375,687,000","2,010,033,000","1,822,945,000","1,909,447,000","1,369,471,000","735,264,000","374,505,000","158,200,000"
	OperatingRevenue,"96,307,000,000","60,922,000,000","26,974,000,000","26,914,000,000","16,675,000,000","10,918,000,000","11,716,000,000","9,714,000,000","6,910,000,000","5,010,000,000","4,682,000,000","4,130,000,000","4,280,159,000","3,997,930,000","3,543,309,000","3,326,445,000","3,424,859,000","4,097,860,000","3,068,771,000","2,375,687,000","2,010,033,000","1,822,945,000","1,909,447,000","1,369,471,000","735,264,000","374,505,000","158,200,000"
CostOfRevenue,"23,137,000,000","16,621,000,000","11,618,000,000","9,439,000,000","6,279,000,000","4,150,000,000","4,545,000,000","3,892,000,000","2,847,000,000","2,199,000,000","2,083,000,000","1,862,000,000","2,053,816,000","1,941,413,000","2,134,219,000","2,149,522,000","2,250,590,000","2,228,580,000","1,768,322,000","1,465,654,000","1,362,478,000","1,294,067,000","1,333,435,000","850,233,000","462,385,000","232,662,000","103,200,000"
GrossProfit,"73,170,000,000","44,301,000,000","15,356,000,000","17,475,000,000","10,396,000,000","6,768,000,000","7,171,000,000","5,822,000,000","4,063,000,000","2,811,000,000","2,599,000,000","2,268,000,000","2,226,343,000","2,056,517,000","1,409,090,000","1,176,923,000","1,174,269,000","1,869,280,000","1,300,449,000","910,033,000","647,555,000","528,878,000","576,012,000","519,238,000","272,879,000","141,843,000","55,000,000"
OperatingExpense,"13,588,000,000","11,329,000,000","9,779,000,000","7,434,000,000","5,864,000,000","3,922,000,000","3,367,000,000","2,612,000,000","2,126,000,000","1,933,000,000","1,840,000,000","1,772,000,000","1,578,104,000","1,408,218,000","1,210,343,000","1,275,868,000","1,218,101,000","1,032,934,000","846,997,000","573,369,000","552,379,000","435,221,000","432,026,000","267,476,000","144,744,000","83,226,000","50,500,000"
	SellingGeneralAndAdministration,"3,019,000,000","2,654,000,000","2,440,000,000","2,166,000,000","1,940,000,000","1,093,000,000","991,000,000","815,000,000","663,000,000","602,000,000","480,000,000","436,000,000","430,822,000","405,613,000","361,513,000","367,017,000","362,222,000","341,297,000","293,530,000","202,088,000","204,159,000","165,249,000","207,153,000","97,185,000","58,697,000","36,312,000","18,900,000"
	ResearchAndDevelopment,"10,569,000,000","8,675,000,000","7,339,000,000","5,268,000,000","3,924,000,000","2,829,000,000","2,376,000,000","1,797,000,000","1,463,000,000","1,331,000,000","1,360,000,000","1,336,000,000","1,147,282,000","1,002,605,000","848,830,000","908,851,000","855,879,000","691,637,000","553,467,000","357,123,000","348,220,000","269,972,000","224,873,000","153,920,000","86,047,000","46,914,000","25,100,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,"12,684,000","15,836,000","9,700,000","6,500,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,"12,684,000","15,836,000","9,700,000","6,500,000"
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,"12,684,000",,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,"12,684,000",,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,"-114,000,000",,,,,"14,158,000",,,,"3,687,000",,,
OperatingIncome,"59,582,000,000","32,972,000,000","5,577,000,000","10,041,000,000","4,532,000,000","2,846,000,000","3,804,000,000","3,210,000,000","1,937,000,000","878,000,000","759,000,000","496,000,000","648,239,000","648,299,000","198,747,000","-98,945,000","-43,832,000","836,346,000","453,452,000","336,664,000","95,176,000","93,657,000","143,986,000","251,762,000","128,135,000","58,617,000","4,500,000"
NetNonOperatingInterestIncomeExpense,"1,080,000,000","609,000,000","5,000,000","-207,000,000","-127,000,000","126,000,000","78,000,000","8,000,000","-4,000,000","-8,000,000","-18,000,000","7,000,000","16,614,000","16,060,000","15,930,000","19,795,000","42,453,000",,,,,,,,,,
	InterestIncomeNonOperating,"1,331,000,000","866,000,000","267,000,000","29,000,000","57,000,000","178,000,000","136,000,000","69,000,000","54,000,000","39,000,000","28,000,000","17,000,000","19,908,000","19,149,000","19,057,000","23,115,000","42,859,000",,,,,,,,,,
	InterestExpenseNonOperating,"251,000,000","257,000,000","262,000,000","236,000,000","184,000,000","52,000,000","58,000,000","61,000,000","58,000,000","47,000,000","46,000,000","10,000,000","3,294,000","3,089,000","3,127,000","3,320,000","406,000",,,,,,,,,,
OtherIncomeExpense,"459,000,000","237,000,000","-1,401,000,000","107,000,000","4,000,000","-2,000,000","14,000,000","-22,000,000","-28,000,000","-127,000,000","14,000,000","7,000,000","-2,814,000","-963,000","56,492,000","-3,144,000","-41,575,000","760,000","-771,000","-14,660,000","594,000","-13,535,000",,"-14,408,000","-6,000","15,000","6,800,000"
	SpecialIncomeCharges,,"0","-1,353,000,000","0","0",,"0","0","-3,000,000","-131,000,000","0","0","0","0","57,000,000","0","-41,575,000","760,000","-771,000","-14,660,000","594,000","-13,535,000",,"-14,408,000","-6,000","15,000","6,800,000"
		RestructuringAndMergernAcquisition,,"0","1,353,000,000","0","0",,"0","0","3,000,000","131,000,000","0","0",,,"0","0","26,868,000",,,,,,,"10,030,000",,,
		OtherSpecialCharges,,,,,,,,,,,,,,,"-57,000,000","3,144,000","14,707,000",,,,,,,"4,378,000",,,
	OtherNonOperatingIncomeExpenses,"459,000,000","237,000,000","-48,000,000","107,000,000","4,000,000","-2,000,000","14,000,000","-22,000,000","-25,000,000","4,000,000","14,000,000","7,000,000","-2,814,000","-963,000","-508,000","-3,144,000",,,,,,,,,,,
